Label_Emosi,Teks_Komentar
Neutral,@kaylasofiahh
Disgust,"Maaf diterima, proses hukum jln trs."
Disgust,saya orang sunda ga terima sakit hati
Disgust,Ga ada maaf
Sadness,turut berduka cita buat resbo
Neutral,"kami selaku suku sunda sudah memaafkan resbob karna manusia tidak luput dari kesalahan, sehat selalu abngku abang resbob 🫡"
Anger,preeeet aing orang Sunda blekok
Disgust,moal d maaf Ken ku orang Sunda mah
Disgust,Basi
Disgust,"bisa kau dimaafkan, asal kau Salami semua yang bersuku Sunda dimana pun berada"
Anger,se enk jidat mu.....!!!!!!!
Disgust,hahaha percuma lambat
Neutral,😏😏😏😏😏😏
Disgust,makanya sblm berucap pikir2 dulu BG 🤣🤭
Disgust,bangus wae atuh bob ganeng
Disgust,tida ada mf. proses.
Disgust,moal di hampura....
Disgust,aing sunda banten te tarima ku ucapan na
Disgust,proses hukum harus berjalan
Disgust,teruskan ke ranah hukum....maaf di maafkan tapi tetap hukum dilanjutkan.
Disgust,"ges ndek klarifikasi nanaon geh pokoNaMah kudu diproses.
Aing Sunda Banten te narima.."
Disgust,takut ya😁😁😁
Disgust,Hah lagu lama
Anger,hhhhhhhhh😡
Anger,cari sampai oren
Disgust,satu kata buat si resbob
Disgust,"ga butuh klarifikasi ,butuhnya baju oren😭🗿"
Disgust,bung nyaho moal aya kata maaf pokonamah
Disgust,ges di kepung mah ka raos nya sieun di penjara
Disgust,helehhhh...wes rumuse.nk wes vral
Disgust,teu hayang fulgozooooooo 🫵🤨
Disgust,tindak lanjut hukum dia
Disgust,tah berekun ka kang dedi weh
Disgust,lanjut. hukum
Disgust,takut juga ya Bob🤣😂
Anger,"FATAL BRO... ???
LU BAWA SUKU...??? MASALAH,,,"
Disgust,berbisa teuing siama mang tdina jadi we kiwu
Disgust,ngarana alus naha jd resbob. Blunder atuh bos
Disgust,"gampang bangat ucap MA'AF....
setelah salah ucap...
proses dulu brow"
Disgust,maaf saya terima tapi proses hukum tetap berjalan
Neutral,🤭
Disgust,tapi ain tida terim bang sebagai orang Sunda.diyina
Anger,SALAM OLAHRAGA JEUNG AING SIAH
Anger,LIDAH LU KEREN . . .
Disgust,MOAL DI MAFKEUN TITIK SAGEDE IMAH
Disgust,kok ga se sangar waktu pertama kali ??? ada apa ???
Disgust,makan nya hati hati kl bicara
Disgust,ngucap minta maap MH gampang cara bukti in minta maap bisa ga ttp salah hukum harus berjalan
Disgust,udah kena baru gini
Disgust,hahahhaha lawak😂😂
Disgust,lo lah
Anger,ingat orng Sunda MH oyag hiji oyag Kabeh
Disgust,barige na ari mneh
Sadness,"wkwkwk,saya orng jawa,saya pilih sunda,buat kalian orng sunda plis jangn dikasih maap 😭"
Anger,Abi Sunda TI Cirebon hayohhh Bade kmh
Disgust,demi konten
Neutral,"Allah saja maha pengampun gaes, mari kewajiban kita saling memaafkan,masnya khilaf jgn diulang lg yaah,ini bentuk tanggung jwb👍menjatuhkan hrg dr"
Disgust,tadih gua kirain ular king kobra rupanya ular sawah 🤣🤣🤣🤣
Disgust,ahhhh waduk
Disgust,kalau mau ngedabrus mikir dulu...jangan ngedabrus dulu baru mikir......
Disgust,tangkap
Anger,karep mu.....😡
Disgust,ga usah di maapin
Disgust,hukum harus berjalan
Disgust,ayo kita giring sampe pake baju oren
Disgust,gedabruss
Disgust,wajib di adili 🤭
Disgust,"kuasai dulu 4 element,udara, air,api,tanah, baru di maafkan😂😂😂"
Disgust,biar viral tujuannya trs cuan nya mrngalir dari tiktok
Disgust,"proses hukum ttp berjalan gesss!!!
jangan di kasih ampun, Sudah keterlaluan...
dikira Cuman karna klarifikasi kita bisa maafin"
Disgust,sien yh😂
Disgust,sampe pindah alam hayo sunda
Disgust,sebelum berucap jagalah Kata kata kamu jgn asal ucap
Disgust,saya orang padang tpi saya beci sm orang yg menghina suku orang
Disgust,ulah d hampura
Anger,saya orang sunda sy penggen ketemu
Disgust,menta huntu hiji we karek di hampura
Disgust,GK masuk akal gimna..udah tau..ngahina
Disgust,"mungkin permintaan maaf bisa diterima oleh saudara suku sunda tapi proses hukum harus berjalan agar memberi efek jera terhadap yg bersangkutan serta orang lain, agar berhati hati ketika berbicara"
Disgust,kamari sia sadar teu...
Anger,123...SALAM OLAHRAGA WOII !!!!
Disgust,saya Jatim dukung Sunda... ucapan kata maaf belum ckup harus proses hukum.
Disgust,"mangga di tampi hampuraeun na..🙏
tapi tuing ah, lanjutkeun proses hukum na"
Disgust,jngn nangis
Disgust,proses hukum....
Disgust,"mangkannya,,,pengin viral kira kira dongg,,
kalau udah begini ajahh"
Sadness,jangn mau di maafin sayah orang sunda banten sakit hati sama per katan nya
Anger,tetap proses berjalan 😡😡😡😡😡
Disgust,Ini lagi nutupin berita yang mana sih. ? 😂
Disgust,kemarennn kaya ga punyaa dosaa sekarang kayaa kerupukkkk sayurrrr
Disgust,"hahhhhh naonn teu ka danguu..
ketik Bae lahh🗿"
Disgust,udah lah mas rata2 ya kayak gitu ujung2 mintak maaf itu lagu lam
Disgust,"INI NEGARA HUKUM, BUKAN NEGARA MINTA MAAF"
Disgust,di tunggu di POLDA JABAR abangku firdaus 🤲
Disgust,ujung ujunya minta maaff
Anger,"diluar kesadaran anda?, kecelakaan murni ? lalu bagaimana dengan anda yg sedang mengendarai mobil!!!"
Neutral,cuma hukumannya minta maaf
Disgust,lah ibu angkatnya orang Sunda.. berarti dia nganggap ibu angkat nya..
Neutral,dah lama gak liat klarifikasi²an lagi😌
Disgust,proses hukum lH
Disgust,jgn kasih maaf
Disgust,aq org Jawatimur ikut geram.😠😠dan smoga cpt di proses hukum..
Sadness,𝚝𝚊𝚙𝚒 𝚋𝚊𝚙𝚊𝚔 𝚊𝚒𝚗𝚐 𝙹𝚎𝚕𝙼𝚊 𝚂𝚞𝚗𝚍𝚊 𝚠𝚎𝚒𝚑𝚑😭
Neutral,"Di tandai oleh kami orang Sunda di manapun anda berada tidak peduli alasannya,,😊👍"
Disgust,proses hukum tetap lanjut
Disgust,yahh minta maaf ga seru
Anger,"gak matukio, ma'af"" oppo"
Disgust,buang yang keruh ambil yang jernih pesan ku jgn lupa solat salam dari Sabah..
Disgust,Halal teu nu kieu di tereuy buleud-buleud... HaHa
Disgust,baruok gadang..
Disgust,moal dihampuraken.
Disgust,"lidah memang tidak brtulang, sblm bicara pikir dl😇"
Neutral,alasan ah
Disgust,cina SDH ke bulan...
Disgust,tiada maaf bagimu 😂
Disgust,resbob core makan tempe 🗿
Disgust,tiada maaf bagi orang yng menghina suku sunda
Disgust,proses hukum harus tetap berjalan
Anger,Jgn ksh ampun😡
Disgust,"takut yaaaa, pa wagub udah ngintruksikan polisi suruh tangkap"
Anger,KLARIFIKASI DOANG?
Disgust,make ni orang
Disgust,teu butuh maaf. da jelas eta mah. ngahina
Disgust,xpayah mnta maaf...benda kecik ke.....
Anger,paehan ey BISI ngalobaan🤣
Anger,podaran lah
Disgust,gaada klarifikasi klarifikasi tangkap aja
Disgust,ga ku maaf kan
Disgust,bro kira klarifikasi mengobati rasa sakit ini
Disgust,syukur lu
Neutral,kanangan medding
Disgust,saya orang jawa saya gk bakal terima saudara kami dihina-hina oleh siapapun😡
Disgust,Ah te hayang
Disgust,hukum mh tetep jln lh
Disgust,"Benarlah kata2 ini.
mulut mu harimau mu...enak ya."
Anger,tampiling we ameh sadar
Disgust,proses hukum
Neutral,Menyeeenyee ahh
Disgust,"urusan minta maaf di maafkan
proses hukum tetep harus berjalan"
Disgust,proses hukum
Disgust,🤣🤣🤣🤣
Neutral,temperamen..
Anger,Haha ku pikir keras.. ternyata ??? 😂
Disgust,teu hayang proses secara hukum
Disgust,pakai hukum adat Sunda barujelas
Disgust,maaf di trima tapi hukum harus ber lanjut ..Hakan Tah
Neutral,😁
Disgust,sebagai orang Sunda Teu narima aing mh
Disgust,telat
Anger,ah kehed sia
Anger,kehed sia ahh
Disgust,nasi Uda jadi Bubur..
Disgust,blg
Disgust,urang sunda mah balageur jg ngalarti..di hampura blog...ngan hukum tetep berjalan...
Disgust,proses secara hukum
Anger,minimal anggota b0dy lah broken
Disgust,GK ada itu semua.. hukum berjalan
Anger,aing teu hormat jeung aing teu cinta ka sia
Anger,preeeeettttttttt
Disgust,"ambek k bola ,orang Sunda d babawa😜😂😂😂"
Disgust,saya ga terima suku saya di hina. sama aj menghina orang tua saya
Disgust,"saya menolak permintaan maap sampean,"
Neutral,jangan di ulangi lagi brother
Anger,tekudu menta maaf jangkar kehed
Anger,😡😡😡
Disgust,hukum tetap jalan
Disgust,aing orang sunda teu narima poko na mah.
Disgust,teu hayang 😁
Disgust,hanya pembenaran. lajjut proses hukum
Disgust,gak usah lah di maafin pasti di ulang lagi
Sadness,namanya udh islami banget bang😢
Neutral,..
Disgust,sorry tiada maaf bagimu
Disgust,takut ya????
Anger,kenapa lu ngehina katanya orang yang saya cintai
Disgust,"no maaf2 ah.
enak bngt"
Disgust,"saya tidak terima bang, abang udah menghina suku sunda"
Neutral,"kami dr timur memaafkan Abang, kami selalu di katain hewan tapi gak baperan dan lapor polisi, kami maafkan 🙏🙏🙏"
Anger,kami Sunda dididik kera bos
Neutral,"Pan eta benget siga bool kot*k atuh,, eh maaf😂😂"
Disgust,barisasakit hari muncul di sini .
Neutral,sy Sunda kluarga sunda
Disgust,"Selain resbob, hukum juga yang ngerekamnya 😌"
Anger,paehan ey BISI ngalobaan🤣
Disgust,tdk cukup klw cuma minta maaf
Neutral,langsung jadi orang baik banget 😄😄😄
Disgust,Saya asli orang Sunda gk ada kata maaf.....
Disgust,HAMPURA SEBAGAI SUKU SUNDA URANG TEU NARIMA KLARIFIKASI NA.
Neutral,mafia
Disgust,Jalur hukum tetap berjalan ….tidak ada kemurnian ini dgn kesengajaan dri diri sndri
Disgust,salah naon orang Sunda
Disgust,"gampang soal menta maaf mah,hukum tetep lanjut.."
Disgust,minta maaf kita maafkan tapi proses hukum tetap berlanjut
Disgust,Tegakan hukum klo ada hukum .. tdk semua kesalahan yg di maafkan hukum harus di jalankan rasisis penghinaan suku .. itu alasan murni .
Disgust,penjarakan
Disgust,Langsung waras kau ya Lek.... 🤣🤣🤣
Disgust,Tetap proses hukum berjalan.
Neutral,haaaaah
Disgust,hadeeh...
Disgust,tangkapan
Disgust,sya sebagi orang Sunda tidak Terima dia di maafin
Disgust,gak cukup bagi kita permohonan maaf nya semua suku Sunda sudah di hina gitu saya tidak menerima suku saya di hina kaya gitu
Disgust,teu narima aing Sunda di hina
Sadness,ku aing moal di maaf Ken aing nyeri hate suku aing di tincak²
Disgust,tetep harus d proses
Anger,ciduhan dak bisi nga lobaan
Disgust,"nyakola ceuk aing ge....
lameh cerdas adab jeung etika na"
Disgust,proses secara hukum
Disgust,saya orang Sunda saya tidak terima dengan alasan apa pun kamu bicara saya merasa teer sakiti
Disgust,enak saja kamu minta maaf
Anger,🤧haanying
Neutral,🥰
Neutral,moonyyeeettt
Disgust,tehayang ngamaafkena Oge cuah....
Disgust,"iya iya iya.....
tetep Proses"
Disgust,suargo panggon mu mas
Anger,𝘪𝘪𝘩𝘩𝘻 𝘨𝘦𝘶𝘴 𝘭𝘪𝘪𝘦𝘶𝘳 𝘥𝘦𝘶𝘪𝘪 𝘸𝘢𝘦𝘦 😤😤😤
Disgust,😂😂😂😂
Disgust,halahhhh cuihh
Disgust,kami tak terima sebagai orang sunda
Anger,"siapkan liang lahat,,"
Disgust,eweh eweh kata kata maaf Sudi aing mah teu narima
Anger,pokoya hukum lanjut
Disgust,kita lahir kedunia ini kepala dulu hingga kaki bg jd berfikirlah dahulu sebelum bertingkah & apakah dampakxa yg akan terjadi bs mengganggu orang lain 👌
Disgust,ini hanya pengalihan isu biar gaduh agar kasus2 besar yg sedang mencuat biar tenggelam dgn kegaduhan ini🫵🫵🫵
Disgust,proses hukum
Disgust,🤣🤣🤣🤣
Disgust,proses harus ttp jalan dong
Disgust,proses hukum biar efek jera
Disgust,dimaafkan. tp proses tetap berjalan
Disgust,proses hukum biar ada efek jera...dan juga biar tidak ada lagi yg menghina antar suku....karena kita bhineka tunggal Ika....
Disgust,ayo kita giring sampe pake baju oren
Disgust,hukum harus tetap berlanjut
Disgust,moal dihampura
Sadness,Aku suku sunda merasa ga enak
Disgust,Oleh Iyeu jelemana...
Disgust,teuling
Anger,"KITA SE SUKU SUNDA MENGUCAPKAN ""PREEETTTTT AHH"""
Disgust,congorrrrrrrr yaaaaa
Disgust,beugeutna bersih keneh tong dihampura
Disgust,teu cukup kur ku hampura ari kamari ngomong kitu didinya meni asa ku jelas pisan
Disgust,makanya jangan sembarang menghina orang..siapapun itu..
Disgust,penjarakan please
Disgust,mintak maaf😁😁😁
Anger,emot ciduhan eweh nya
Disgust,ya udah di maafin. tapi hukum tetap lanjut
Disgust,tidak ada maaf bagimu
Anger,Tae Tae
Anger,"Ega ada kata maaf buat kamu,,,,😡😡"
Disgust,Kunaon sia teh ganteng
Disgust,saya orang Jawa kasih paham siapapun sukunya jangan sampai sesekali menyinggung semua suku apapun alasannya itu ga benar kita harus menjujung tinggi adab dalam berbahasa
Disgust,Ngak usah minta maaf amat deh …..ngak usah…anda memang sudah benar kok…..ayokk laaaa ucapan mu bener kok mas….
Anger,"Maaf Kalau bisa kamu datang ke PA KDM
aing nunggu kamu sia"
Disgust,ga ada kata maaf boyy🫵🫵
Disgust,urusan maaf gampang tapi gw blm bisa memaafkan lho
Disgust,hukum adat hukum rimba..
Disgust,kalau buat lu ga di trima
Disgust,dados
Disgust,ari maneh org mn?
Anger,sing di tampi iman Islam na di hapunten Sagala dosa dosa na😡
Disgust,TANGKAP 10 TAHUN BOLEH LAH
Disgust,tetap proses hukum...
Disgust,😂😂😂
Disgust,pretlah
Disgust,mau ngomong apah juga Lo ttp proses hukum
Disgust,hukum di tegak kan
Disgust,ah aing Sunda teu tarima!!
Disgust,heleh
Disgust,ngakak🤣🤣🤣
Disgust,mabok gelek
Anger,"Ega ada kata maaf buat kamu,,,,😡😡"
Anger,prett
Disgust,"maaf boleh tapi proses hukum tetep jalan, itu tindakan rases.."
Anger,prettt
Disgust,"cilaka tigawir masih aya obatna
tapi cilaka tina biwir moal aya ubarna, keheed"
Anger,preettlah
Disgust,😏
Anger,mantap resbob lanjut terus
Disgust,syaa yg orang Jawa ngapak aja ga Terima
Disgust,"TIDAK ADA KATA MAAF, HARUS HUKUM ADAT """
Disgust,kok jadi 😂
Anger,YEHH HARGAAN ATUH AGAMA DEWEK
Disgust,saya ta mungkin memaap kan kamu
Disgust,jngkasih maaf
Anger,awas mun bogoh ka awewe sunda🫵🏻
Anger,aing Kuningan terima cuman minta maaf 👊👊
Anger,lu dimana sekarang
Disgust,proses ttp brjln...
Anger,cirebon menanti
Disgust,makai itu jangan senang hina
Neutral,emang omongannya apa?
Disgust,proses hukum berlanjut
Disgust,jalur hukum yg berlaku boy
Neutral,Berfikir dahulu baru berkata
Anger,tae
Disgust,😂😂😂
Neutral,bihong bela diri
Disgust,"d maaf kan resbob,tp tetap hrs d proses😅"
Disgust,tabur tuai itu nyata
Disgust,PUCHAT...
Disgust,"hukum harus berjalan kalau cuma minta maaf selesai
nanti banyak orang menghina trs minta maaf selesai urusan
hukum hrs berjalan"
Disgust,ujung²nya iniiii aaja
Anger,KAMI TIDAK MENERIMA KLARIFIKASI DALAM BENTUK/ALESAN APAPUN ITU.
Disgust,sudah terlambat bng
Disgust,"jangan ada mf...
tuman"
Anger,Min Lanjutkan dulu bung
Neutral,🥵🥵🥵
Disgust,gak semudah itu tetep harus jalur hukummm bree
Disgust,aq org Jawatimur ikut geram.😠😠dan smoga cpt di proses hukum..
Disgust,mules
Disgust,"Jangan percaya sama klarifikasi2, hukum harus tetap di tegakkan agar suatu hari nanti tdk terjadi hal2 seperti ini lagi. Kita semua itu bersaudara, toleransi kepada suku2 lain itu indah"
Disgust,trus knp ngomong gitu?
Disgust,banyak cerita lah hukum tetap berjalan bang titik
Disgust,aing teu Terima suku aing di hina
Disgust,huuuuuuu makany
Disgust,"Makanya di Jakarta mulut yaa..
jangan terjadi pecah belah"
Sadness,udah terlanjur sakit hati orang sunda sy jg keturunan sunda kakek sy orang sunda
Disgust,pareuman lah
Disgust,teu hayang kudu nga maap kn anu ges ngahina
Disgust,Tidak diterima maafnyaa🙏
Disgust,sengaja kali🤣
Anger,SUNDA KERA BOSSS...
Anger,NU puguh mah mabok we kehed
Disgust,di pidana aja dulu
Disgust,aing sebagai orng sunda tetep moal di ma'afken
Disgust,kurang seru aah sinetron nya 🤪🤪
Disgust,nyeret
Disgust,"hormati cintai dr mn dan saudara yg mn,"
Disgust,kek gibran co😂
Disgust,proset dulu
Disgust,"paduli teh teing, moal di hampura"
Disgust,uuuh dsar nh atuh ngahina pisan. 😳😳😳
Disgust,aing orang Sunda Karawang te terima buat apa minta maaf hukum tetap berjalan
Disgust,sya sbagai orang sunda g terima
Disgust,😁😁😁
Disgust,mustahil?
Disgust,"Nya Ceuk Saya Oge .
Ujung - ujungna KLAFIKASI .
Nyuhunkeun Maap ka Orang Sunda ."
Disgust,malah curhat😂
Neutral,dunia akherat gua iklas dan terima atas ucapan luuuu
Disgust,makanya jangan asal momong
Disgust,kami suku Sunda pasti memaafkan tapi hukum di indonesia kalu ga di proses saya sebagai suku Sunda kecewa sekali
Disgust,resmi d tahan 😂😂😂
Neutral,Jenat ge kieu heula
Disgust,tidak cukup cuman maap mah bos
Disgust,gandeng gandeng sia
Neutral,aminnn
Disgust,mabok kucibung nukitumah 😂😂
Anger,enak banget cuma minta maaf kasih salam olahraga
Disgust,halah te sudi
Neutral,kasi lepas napa gi2 nya 2 atau 3 biji
Neutral,resbob
Anger,PAEHAN BISI NGALOBAAN!!!!
Neutral,tangkaaaap
Disgust,resbob ya bukan RESMOB...🤣🤣🤣🤣🤣
Disgust,Enak aja segampang itu minta maaf...skrang ngomong gitu tidak disadari Saya ngomong gitu....maaf sch maaf hukum harus ditegakkan... boss
Disgust,"walah teryata takut juga,"
Anger,lain saudara aing diamah
Anger,😤😠😡😠😤😤
Anger,nyeri hate aeng MaH🤬
Disgust,jangan di maafkan... kebiasaan buruk....
Disgust,mnta maafnya d lpng bola
Disgust,Curhat 😀
Disgust,maaf sy blm bisa menerima kt maaf mu bang 🙏Krn sy asli Sunda 🙏
Disgust,"kl tdk suka dgn seseorang,jgn bawa2 suku,blg sj oknum sunda"
Disgust,😂😂😂
Anger,nepi KA ceurik geutih...dA aing moal nerima ...
Disgust,hukum harus tetap berjalan
Anger,makanya jadi manusia harus puya adab walupun bayak ilmu kalu nga ada adab nga ada arti kerna saya pernah dibilang anjing sampei kapanpun ada terus terhiang rasa sakit hati taterlupakan
Disgust,ko takut bang
Anger,😤😤😤😤
Anger,teluhhh jelema kitumah
Anger,tak cukup tanah nak lari cuyyy
Disgust,mustahil? tidak masuk akal? lah itu ngomong nya aja kaga sekali wkwk jelas itu kesengajaan ya nggak mustahil toh udh terbukti
Disgust,kok muka nya masih bersih ini..
Anger,paehan bisi ngalobaan
Sadness,"𝙡𝙞𝙙𝙖𝙝 𝙞𝙩𝙪 𝙩𝙖𝙠 𝙗𝙚𝙩𝙪𝙡𝙖𝙣𝙜,
𝙠𝙖𝙡𝙤 𝙩𝙞𝙙𝙖𝙠 𝙗𝙞𝙨𝙖 𝙟𝙖𝙜𝙖 𝙡𝙞𝙙𝙖𝙝𝙣𝙮𝙖 𝙞𝙩𝙪 𝙗𝙞𝙠𝙞𝙣 𝙨𝙖𝙠𝙞𝙩 𝙝𝙖𝙩𝙞,"
Neutral,😅😅😅🤭
Disgust,tak ada maaf
Neutral,"orang udh punya niat minta maaf , sebesar appun kesalahanya kita sebagai orng yg beriman wajib memaafknya , kita doakan smg ngk terulng lagi"
Sadness,makanya bicara itu harus di jaga pasti semua orang Sunda sakit hati sakit hati itu gaa ada obatnya
Disgust,Harus di proses hukum..tumann
Disgust,kmren teriak guk² hr inj jd sodara gmn itu 😬😬😬
Anger,Orang.sunda.di.lawan.hanjakal.nyah.cungur.ari.ges.di.tangani.hukum.mh
Disgust,enak banget......
Disgust,proses terus berlanjut....
Anger,😡😡 [ステッカー]
Disgust,trs siapa yg ngomong seperti itu..
Disgust,kiayi ustad siapa yg bimbingnya pasti SMA dg resbob sipat aslinya...
Disgust,"tolak klaripikasi ,,"
Anger,te aweh kata damaiii!!!!
Disgust,"klo aku orang Sunda aku ngak bakal Terima permintaan maafnya,"
Sadness,waduh malah ceramah dia😭
Disgust,"Jangan beralasan, kalau minta maaf MINTA MAAFLAH dengan tulus."
Disgust,hukum tetap berjalan.rasisme.penjara jangan sampe lepas
Disgust,"ck uing ge ujung''na teh menta ma'af 😅😅
bae ku uing di ma'afken lah karunya bisi marakayangan 😅😅"
Neutral,"liat videonya, itu wajah siapa"
Disgust,tidak menerima permintaan maaf dalam bentuk apapun.....😡
Disgust,"hukum jalan terus,tdk segampang itu minta maaf!!!"
Anger,aing lain sodara maneh..make ngomong sodara kita...
Disgust,telat Bos....😂😂😂
Disgust,Nusakambangan keun 🔥
Disgust,teu kudu dhmpura...matak ngalobaan nu kararieu ke na...moa aya efek jera dhmpura wae mah.
Anger,"udh terlanjur,bkn berarti memaafkan,tau""ilang aja dari muka bumi,tanpa jejak"
Disgust,proses hukum ttp berjalan
Disgust,"ga ada maaf²,enak banget tau² minta maaf doang"
Neutral,Leeeeeh
Disgust,hukum harus di tegakan
Disgust,nanaonan atu ari siaa
Disgust,kocak😏 geus kieu weh ngenta hampura samah
Disgust,tapi kenapa ko ngomong nya gitu
Disgust,😂😂😂jangan cari kehilapan terima tanggung jawab nya jangan maaf aja
Disgust,maaf saya terima tapi proses hukum tetap berjalan
Neutral,😡😡
Disgust,proses
Disgust,hangek ngahampura n
Disgust,😂😂😂
Disgust,ga cukup minta maaf broo
Disgust,"kata maaf boleh terucap tapi proses hukum harus tetap lanjut
tak perduli klarifikasi nya ini itu
hukum tetap harus berjalan kalau memang hukum itu ada tolong tegakkan 😡😡😡😡"
Disgust,"uuueeehhhhh🤭
akhirnya😏"
Disgust,g ada kata maaf g ada klaripikasi terima aja hukuman orsud tetep hukum ber jlan.
Disgust,ada2 aj tingkah lu
Disgust,idupin dulu patung Pancoran baru gw maafin hukum akan tetap berjalan pokonya
Disgust,GK segampang itu hukum akan terus berjalan klo perlu hukum rimba
Disgust,makanya mamang ulah sekadaekna ngehina suku Sunda /suku nu lain na
Disgust,kaburr..dlu lah ke luar negri...tar jg pd lupa
Disgust,lanjut proses hukum...
Disgust,terlalu gampang....
Disgust,nih klo sampe hukuman nya ringan kebangetan bgt
Disgust,"maaf GK ada kesempatan , tangkap pokoknya titik."
Neutral,pinter bgt cari nama
Anger,tetap aNda saya cari
Disgust,"meminta maaf kami masih bisa
terima untuk proses hukum harus tetap lanyjut"
Neutral,😳😳😳
Disgust,😏😏😏
Neutral,orng Sunda jgn mau terima maafx😁
Disgust,saya org cianjur gk terima
Disgust,"tetap hrs proses bung,"
Neutral,..
Disgust,trlambat kamu
Disgust,Makanya kalau ngomong jangan asal aja ya🥺
Disgust,enak aja minta maap semudah itu resmob
Disgust,"maap diterima bos, tapi kasus lanjut biar ada epek kedepanya bagi pengguna medsos lainnya."
Disgust,GAK ADA KATA MAAF.
Anger,😡😡 [ステッカー]
Disgust,tetap proses hukum
Disgust,saya orang Bandung ujaran kebencian tetap harus di proses blm termasuk UUD ITE ini di katakan dengan sadar bukan kecelakaan murni
Neutral,💦
Disgust,😁
Disgust,drama baru nih [ステッカー]
Disgust,"udah ganteng ahlakmu bagus Ade ,,cuuuuy"
Disgust,sebagai orang Sunda Teu narima aing mh
Disgust,percuma mau ngoceh2 ini itu tangkap cepet
Disgust,masih kgk terima iziiiiinnnnn
Disgust,maap boleh hukum tetep berjalan bos suku Sunda di mna mna
Neutral,el klarifikasi
Disgust,enak banget minta maap..
Disgust,kenapa atuh Anda bicara begitu ?
Disgust,bumi palih mana
Disgust,proses hukum lH
Disgust,"g cukup lah cuma klarifikasi,Krn ini fatal....tetep hrs proses hukum tuuh..."
Disgust,"iya makanya hati hati bang klu ngomong
jgn seenak mya"
Disgust,😄😄😄😄😄😄😄😄😄😄😄 resmi timna ey
Disgust,"Enak nih skarang udh jdi BINTANG TAMU d wilayah BARAT, trus nginepnya d hotel prodeo wilayah JABAR...ktemu sama para senior lgi"
Disgust,rasakno
Disgust,ngahudang Ken maung ker sare sia mah
Disgust,enak bener kamu mintak maap
Disgust,gua ga Terima lah suku sunda di hina hina anj😂
Disgust,ia berarti ada kata pengampunan
Neutral,saya Sunda Rangkas secara pribadi sudah memaafkan namanya manusia pasti ada khilafnya karna kebaikan kesempurnaan hanya milik Allah semoga ta terulang lgi
Disgust,Makana lamun sia ngomong jagaaaa
Disgust,sy tidak terima permohonan maaf kamu dengan alasan apapun....
Disgust,dimaafkan tp hukum tetap berlanjut
Disgust,😅😅😅
Disgust,teu harayang menta hampura
Disgust,proses HUKUM ..
Disgust,sudahh gak aneh gak aneh gak aneh bikin onar ujung2nya minta maaf selesai tuhhh masalah..
Disgust,😁😁😁😁😁😁
Disgust,nnahaonan atuh ...😂
Sadness,Aku suku sunda merasa ga enak
Sadness,namanya udh islami banget bang😢
Disgust,jangan dimaafin saya yg orang batak aja sakit hati dengernya proses hukum harus terus berlanjut
Disgust,dia minta maaf karna takut dikenakan baju Oren 😂
Disgust,lah anak Amanatul ummah😂😂
Disgust,hadeuh.... permintaan maaf boleh.... proses hukum tetap jalan.... sbb ada kesengajaan....
Disgust,tidak di terima ucapan maaf
Anger,karungan dak
Disgust,masih enak kau makan bro....😁😁
Disgust,"y betul dikit "" mintak maaf udh ngilang begtu aja beritanya kbnyakan kayak gt .."
Disgust,itu hanya alasan mu aja
Disgust,jangan di mapin
Anger,paehan paehan paehan ngarurujit
Disgust,TETAP PROSES HUKUM AGAR UJARAN KEBENCIANN BERKURANG DAN KLW CMA DI MAAFKAN AKAN ADA LG ORANG YG SERUPA SEENAKNYA MENCACI SUKU ORG LAIN.
Disgust,ngenahwe maapp
Disgust,😅😅😅😅takut juga dia
Disgust,hrus di proses hukum
Disgust,"muka udah koyol gtu, kalo babak belur tambah koyol lgi😅"
Disgust,KOK GAK SANGAR LAGI
Disgust,"selalu begini,, aduh ,,ujung ujung nya kelaripikasi ,,yg sudah sudah juga begitu dari dulu,,apa gak ada cara lain"
Disgust,ujung2nya😂😂😂
Disgust,hubungane opo ngarang
Disgust,dia dia mulu yg bikin ulah
Disgust,kamari sia sadar teu...
Neutral,saya orang gorontalo dukung orang sunda 💪
Anger,NO KLARIFIKASI
Disgust,"wa,alaikumsalam wr,wbAing teu narima golog"
Disgust,"proses.. kalo kata maaf berguna,penj4r4 penuh ✍️"
Anger,podar an
Neutral,monitor
Disgust,geus kieu kakara hampura waduk lah
Sadness,saya maapin tpi sakit hati saya tetap tringt dngn KTA KTA anda
Disgust,proses hukum harus terus.
Anger,paehan setuju teuu barudakk
Anger,Ulun aja urang Banjar kada terima apalagi Sunda 😠😠😠😠
Anger,cok njaran
Disgust,takut ya
Disgust,pasti ngeprank 🤣🤣
Disgust,gak ada maaf
Disgust,gandeng ah
Disgust,teu cukup ku maaf.
Disgust,"kudu Aya epek jera atuh iyeumah 😁, leres henteu?"
Disgust,wes telat Choocxxx...
Disgust,jangan di kask maaf
Disgust,sodara😅😂
Anger,"ADE ABANG SAMA AJA WKWK , BUAH JATUH NGGA JAUH DARI POHON NYA"
Disgust,tidak ada kata maaf bagimu 🫵
Disgust,mudah kau melukai mudah jg kau dimaafkan Bugis Bone TDK setuju
Disgust,aing teu Terima suku aing di hina
Disgust,nasi dah jadi bubur
Disgust,"gpp bng ,ngk perlu mntk mf ,ulangi lgi lh Uda bnr kok"
